symbol,timeframe,candidate_count,parquet_path,status,error_message
GBPJPY,H4,68,candidates/GBPJPY/H4.parquet,complete,
GBPJPY,D1,63,candidates/GBPJPY/D1.parquet,complete,
GBPUSD,M5,12,candidates/GBPUSD/M5.parquet,complete,
GBPUSD,M15,9,candidates/GBPUSD/M15.parquet,complete,
GBPUSD,M30,27,candidates/GBPUSD/M30.parquet,complete,
GBPUSD,H1,58,candidates/GBPUSD/H1.parquet,complete,
GBPUSD,H4,67,candidates/GBPUSD/H4.parquet,complete,
GBPUSD,D1,55,candidates/GBPUSD/D1.parquet,complete,
HK50,M5,12,candidates/HK50/M5.parquet,complete,
HK50,M15,32,candidates/HK50/M15.parquet,complete,
HK50,M30,77,candidates/HK50/M30.parquet,complete,
HK50,H1,57,candidates/HK50/H1.parquet,complete,
HK50,H4,68,candidates/HK50/H4.parquet,complete,
HK50,D1,60,candidates/HK50/D1.parquet,complete,
JP225,M5,8,candidates/JP225/M5.parquet,complete,
JP225,M15,17,candidates/JP225/M15.parquet,complete,
JP225,M30,61,candidates/JP225/M30.parquet,complete,
JP225,H1,60,candidates/JP225/H1.parquet,complete,
JP225,H4,69,candidates/JP225/H4.parquet,complete,
JP225,D1,60,candidates/JP225/D1.parquet,complete,
LTCUSD,M5,4,candidates/LTCUSD/M5.parquet,complete,
LTCUSD,M15,8,candidates/LTCUSD/M15.parquet,complete,
LTCUSD,M30,21,candidates/LTCUSD/M30.parquet,complete,
LTCUSD,H1,36,candidates/LTCUSD/H1.parquet,complete,
LTCUSD,H4,69,candidates/LTCUSD/H4.parquet,complete,
LTCUSD,D1,51,candidates/LTCUSD/D1.parquet,complete,
NZDJPY,M5,12,candidates/NZDJPY/M5.parquet,complete,
NZDJPY,M15,9,candidates/NZDJPY/M15.parquet,complete,
NZDJPY,M30,21,candidates/NZDJPY/M30.parquet,complete,
NZDJPY,H1,27,candidates/NZDJPY/H1.parquet,complete,
NZDJPY,H4,63,candidates/NZDJPY/H4.parquet,complete,
NZDJPY,D1,54,candidates/NZDJPY/D1.parquet,complete,
NZDUSD,M5,12,candidates/NZDUSD/M5.parquet,complete,
NZDUSD,M15,12,candidates/NZDUSD/M15.parquet,complete,
NZDUSD,M30,18,candidates/NZDUSD/M30.parquet,complete,
NZDUSD,H1,21,candidates/NZDUSD/H1.parquet,complete,
NZDUSD,H4,70,candidates/NZDUSD/H4.parquet,complete,
NZDUSD,D1,66,candidates/NZDUSD/D1.parquet,complete,
SOLUSD,M5,4,candidates/SOLUSD/M5.parquet,complete,
SOLUSD,M15,0,candidates/SOLUSD/M15.parquet,complete,
SOLUSD,M30,20,candidates/SOLUSD/M30.parquet,complete,
SOLUSD,H1,19,candidates/SOLUSD/H1.parquet,complete,
SOLUSD,H4,61,candidates/SOLUSD/H4.parquet,complete,
SOLUSD,D1,58,candidates/SOLUSD/D1.parquet,complete,
TRXUSD,M5,0,candidates/TRXUSD/M5.parquet,complete,
