symbol,timeframe,regime,strategy_name,param_hash,quality_score,rank,val_trades,val_pf,val_return,val_dd,val_sharpe,val_win_rate,train_trades,train_pf,train_return,is_tuned
EURUSD,H4,CHOP,SqueezeBreakoutStrategy,a3d061b989dc27b2,62.0093355051951,1,36,1.814,10.3,1.91,4.694,63.89,96,1.279,12.59,True
EURUSD,D1,TREND,KeltnerPullbackStrategy,ac1b9f4ab8f4426d,59.78075809347931,2,10,3.024,6.24,1.93,8.686,70.0,28,1.532,6.53,True
EURUSD,D1,CHOP,ParabolicSARTrendStrategy,c7be0b202bfee2e5,63.61644655831468,1,11,3.178,6.3,0.99,9.2,72.73,32,2.57,16.08,True
GBPAUD,M15,CHOP,MomentumBurstStrategy,3b52f271adb7ad56,50.92826064746779,1,15,1.669,5.18,2.86,3.767,46.67,94,1.19,9.65,True
GBPAUD,H1,TREND,ZScoreVWAPReversionStrategy,2c61c0d0a5c4cf22,59.85518930316376,1,12,2.038,5.26,1.04,5.43,58.33,45,1.786,16.85,True
GBPAUD,H1,RANGE,SupplyDemandImpulseRetestStrategy,26cac8c2e4b7c171,52.13514996891759,1,10,2.455,7.0,3.68,6.32,50.0,33,1.317,6.08,True
GBPAUD,H1,CHOP,ZScoreVWAPReversionStrategy,4a9b046de6eb72bb,53.77492155691003,1,32,1.682,12.98,3.21,3.899,46.88,48,1.378,11.6,True
GBPAUD,H4,TREND,OBVDivergenceStrategy,cffa3fb739789f45,55.09502243806842,2,26,1.656,8.31,2.54,3.902,53.85,57,1.137,4.51,True
GBPAUD,H4,RANGE,WilliamsRStrategy,2da8378d38f12d00,59.776408358393816,1,23,1.971,6.08,1.9,5.318,69.57,25,1.499,4.21,True
GBPAUD,H4,CHOP,OBVDivergenceStrategy,cffa3fb739789f45,56.22509156438938,2,13,2.371,7.23,3.02,6.655,61.54,46,1.446,10.53,True
GBPAUD,D1,TREND,VolatilityBreakoutStrategy,48b820b22c3a3fb3,71.65618675885116,1,12,3.844,11.32,0.97,10.433,66.67,31,1.205,3.75,False
GBPAUD,D1,RANGE,CCIReversalStrategy,748fe6a52423342f,63.57585549724621,1,11,4.387,6.49,1.86,12.229,81.82,13,1.525,2.83,True
GBPCAD,M15,CHOP,ADXDIStrengthStrategy,f0b1b393ab709053,49.808958567225844,1,23,1.607,6.6,3.81,3.646,52.17,42,1.282,5.01,True
GBPCAD,M30,RANGE,SupplyDemandImpulseRetestStrategy,78e44979614b3d9e,48.17648733631674,1,38,1.361,5.66,3.95,2.417,55.26,67,1.038,0.91,True
GBPCAD,H1,TREND,MomentumBurstStrategy,3126eed97f877d26,40.2267435979215,1,223,1.179,22.5,9.7,1.29,47.98,701,1.09,51.09,True
GBPCAD,H1,RANGE,KeltnerPullbackStrategy,b9cfa1ff0979984b,43.59207144862821,2,53,1.412,10.86,7.38,2.671,49.06,106,1.263,15.03,True
GBPCAD,H1,CHOP,EngulfingPatternStrategy,85ae3620cfbdcd9f,42.19942923413789,1,46,1.268,5.72,5.7,1.852,50.0,114,1.247,14.61,True
GBPCAD,H4,TREND,ADXTrendStrategy,fa9b20c2f0832673,63.5363859692992,1,33,2.556,14.67,2.76,7.599,72.73,72,1.497,14.46,True
